Board,InputChannel,SoftwareChannel,ChannelType,ChannelName,NumDevicesInChannel,IsAmplified,IsDead,ChannelPosX,ChannelPosY,ChargeMCChannelMap
0,0,0,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,1,1,SiPM,1-2,1,FALSE,FALSE,-1000,-1000,None
0,2,2,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,3,3,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,4,4,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,5,5,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,6,6,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,7,7,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,8,8,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,9,9,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,10,10,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,11,11,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,12,12,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,13,13,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,14,14,Off,Off,1,FALSE,FALSE,-1000,-1000,None
0,15,15,Off,Off,1,FALSE,FALSE,-1000,-1000,None
1,0,16,TileStrip,Y1/2,2,TRUE,FALSE,0,-45,"33,34"
1,1,17,TileStrip,Y3/4,2,TRUE,FALSE,0,-39,"35,36"
1,2,18,TileStrip,Y5/6,2,TRUE,FALSE,0,-33,"37,38"
1,3,19,TileStrip,Y7/8,2,TRUE,FALSE,0,-27,"39,40"
1,4,20,TileStrip,Y9/10,2,TRUE,FALSE,0,-21,"41,42"
1,5,21,TileStrip,Y11/12,2,TRUE,FALSE,0,-15,"43,44"
1,6,22,TileStrip,Y13/14,2,TRUE,FALSE,0,-9,"45,46"
1,7,23,TileStrip,Y15/16,2,TRUE,FALSE,0,-3,"47,48"
1,8,24,TileStrip,Y17/18,2,TRUE,FALSE,0,3,"49,50"
1,9,25,TileStrip,Y19/20,2,TRUE,FALSE,0,9,"51,52"
1,10,26,TileStrip,Y21/22,2,TRUE,FALSE,0,15,"53,54"
1,11,27,TileStrip,Y23/24,2,TRUE,FALSE,0,21,"55,56"
1,12,28,Off,Y25/26,2,TRUE,TRUE,0,27,"57,58"
1,13,29,TileStrip,Y27/28,2,TRUE,FALSE,0,33,"59,60"
1,14,30,TileStrip,Y29/30,2,TRUE,FALSE,0,39,"61,62"
1,15,31,Off,Y31/32,2,TRUE,TRUE,0,45,"63,64"
2,0,32,TileStrip,X1/2,2,TRUE,FALSE,-45,0,"1,2"
2,1,33,TileStrip,X3/4,2,TRUE,TRUE,-39,0,"3,4"
2,2,34,TileStrip,X5/6,2,TRUE,FALSE,-33,0,"5,6"
2,3,35,TileStrip,X7/8,2,TRUE,FALSE,-27,0,"7,8"
2,4,36,TileStrip,X9/10,2,TRUE,FALSE,-21,0,"9,10"
2,5,37,TileStrip,X11/12,2,TRUE,FALSE,-15,0,"11,12"
2,6,38,Off,X13/14,2,TRUE,FALSE,-9,0,"13,14"
2,7,39,TileStrip,X15/16,2,TRUE,FALSE,-3,0,"15,16"
2,8,40,TileStrip,X17/18,2,TRUE,FALSE,3,0,"17,18"
2,9,41,Off,X19/20,2,TRUE,FALSE,9.0,0,"19,20"
2,10,42,TileStrip,X21/22,2,TRUE,FALSE,15,0,"21,22"
2,11,43,TileStrip,X23/24,2,TRUE,FALSE,21,0,"23,24"
2,12,44,TileStrip,X25/26,2,TRUE,FALSE,27,0,"25,26"
2,13,45,Off,X27/28,2,TRUE,FALSE,33,0,"27,28"
2,14,46,TileStrip,X29/30,2,TRUE,FALSE,39,0,"29,30"
2,15,47,TileStrip,X31/32,2,TRUE,FALSE,45,0,"31,32"
